Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
High income,HIC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,41003.0419558804,41524.7909133419,42060.2786856362,42913.4165834414,44305.6470824843,45478.4829847377,46856.10253052,48080.3442996972,48267.6230072678,46254.6443467129,47506.6176008077,48413.2895279352,48866.9043465102,49345.0282783462,50113.0738090647,50871.8271436424,51469.2074739692,52524.3365085716,53620.7419975726,54478.7889001735,52199.0194594671,55348.6448438058,56725.6157776267,57349.4000093543,58151.3236844882
High income,HIC,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
High income,HIC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,75.7159104606567,76.0217333975495,76.3770316647447,76.7142748013634,77.0421768823531,77.3601853804245,77.6555109257519,77.9419987843462,78.2197380662393,78.4817631800137,78.730290968659,78.9234665090901,79.0924332402722,79.2656707284999,79.4387061186541,79.6164028862012,79.7971842507954,79.9779465106785,80.1568320346379,80.3466412738277,80.5443858638507,80.732211145294,80.941962138335,81.1614698861601,81.3822975288008
IBRD only,IBD,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,7102.04375553605,7276.85477251741,7515.09040204513,7869.65795530902,8371.56569592862,8850.15739035815,9454.56601736929,10151.3409731726,10597.0859315387,10696.7299729796,11363.9175090687,11913.0570910103,12383.6526269004,12846.348353265,13283.9058841446,13687.0351474134,14165.4558599661,14738.7854053321,15317.0935571363,15779.453615427,15370.6726894558,16411.8907747422,16953.0660371222,17711.9088259945,18388.5971585
IBRD only,IBD,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IBRD only,IBD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.7183512473418,44.3038011635736,44.9425890080496,45.5921181600685,46.2510960003965,46.9164837158728,47.5698188024491,48.2114862583341,48.8610009971071,49.5107521258833,50.1584462571237,50.77719392999,51.3872104622612,52.0043833909345,52.6285015720936,53.249256825779,53.8630279498437,54.4730525266222,55.0771234775401,55.6730186862018,56.2572383997406,56.8369027884104,57.4051949405733,57.9586084947402,58.51006436089
IDA & IBRD total,IBT,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,6135.89706910762,6271.48610431065,6462.08340554247,6742.27542777201,7146.19171246682,7528.98745969214,8005.86958292373,8549.42833564062,8893.06985975491,8973.29753062399,9491.07508545713,9909.67782609768,10257.3416993118,10613.07351592,10954.8707458839,11260.4972390655,11614.4441445374,12040.7167469249,12469.342887172,12803.2521940084,12435.9032913134,13184.8922228018,13566.2364182809,14085.3731077271,14558.5492815941
IDA & IBRD total,IBT,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IDA & IBRD total,IBT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.4256351619026,40.9375084118375,41.4906722431939,42.050642250773,42.6187392141779,43.1927558051343,43.7570148528773,44.3057503243017,44.871338637959,45.4361583517829,46.0007901850597,46.5374985760836,47.0659337967184,47.6048093056323,48.1466258633628,48.6925864607723,49.233633582592,49.7713538751917,50.301080152151,50.8211355459862,51.3285959695125,51.8301784271447,52.3261779252217,52.8141913129966,53.3036885100507
IDA blend,IDB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3633.06815578635,3676.26217531532,3788.65670801174,3861.39331202197,4041.49496347081,4180.24092927904,4311.98085248898,4421.24350204498,4474.9555283636,4603.20362498656,4733.33839130523,4804.66599462075,4904.86610088222,5065.94560329811,5237.73045994872,5334.89796881244,5376.75140533133,5428.86321617315,5543.08478725083,5601.0731490184,5418.44773942225,5601.41706536212,5734.61014856876,5770.12967338843,5881.30613333127
IDA blend,IDB,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IDA blend,IDB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.3374216788525,34.779170094102,35.2250948464066,35.6631354707663,36.1043508060075,36.5500826830597,37.0010477697796,37.4547842206776,37.9130743414928,38.3771044163808,38.8477483223638,39.3061853673143,39.7556762799774,40.2116278109995,40.6764393527976,41.1483774380694,41.6223732730942,42.094267862311,42.568372249278,43.0461551836081,43.526580341856,44.0111666695768,44.5056762549498,45.01184766814,45.5233364103481
IDA only,IDX,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2287.60118015433,2326.85527374442,2377.71882468831,2455.48125073872,2550.01006885471,2659.13394023014,2772.97216037709,2894.84958592195,3005.03228266696,3074.87012482451,3200.57743720783,3307.54674502305,3324.29031139911,3389.79236357464,3495.15551718707,3593.43730810317,3693.82283726903,3819.06313884598,3927.59254417072,4039.7599714204,3940.6570362367,3984.76929692713,4071.10176161043,4115.71379123121,4209.87447488521
IDA only,IDX,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IDA only,IDX,Urban population (% of total population),SP.URB.TOTL.IN.ZS,25.8941609350284,26.2608279859372,26.6495494656367,27.0441556783664,27.441475423719,27.8549122566498,28.2822770848071,28.6819260955074,29.1475307752032,29.6040063641326,30.0717178105173,30.50893275602,30.9267678051136,31.3447448290355,31.7629487268723,32.2393173119926,32.7399434484205,33.2541343513233,33.7704062246334,34.2901441341824,34.8127799417597,35.3417682738071,35.8907865413649,36.4509757079159,37.0140733608173
IDA total,IDA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2749.49613228444,2790.93379242003,2863.77501961741,2939.40264497183,3064.59315459017,3184.17515650949,3304.09545325703,3421.60673297075,3511.99691423339,3603.689043589,3731.3650429676,3825.47913981165,3872.55481949222,3972.50571954786,4101.06905584869,4197.80404042116,4275.25376426748,4372.10888636166,4480.79669621851,4571.33693937913,4441.75719336249,4534.28127989266,4635.76844381992,4675.44023703775,4773.15942015615
IDA total,IDA,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
IDA total,IDA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,28.83492029164,29.2338394275423,29.6445267359147,30.0556870624884,30.4722825018542,30.9004679937344,31.3387528021494,31.7629409079578,32.2331359972255,32.6991149671495,33.1742847185102,33.6230185144664,34.0533287657888,34.48626328101,34.920461990074,35.3930381648969,35.8790773172988,36.3728522356199,36.8687600281853,37.3669945784169,37.8684932787533,38.3770927534876,38.9024403010933,39.4372870426606,39.9754060039184
Late-demographic dividend,LTE,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,7859.14466364871,8191.93891083711,8608.78133936868,9131.28502099437,9794.599350274,10457.7956281605,11323.7634980264,12351.1528900333,13087.4036470806,13323.7048989903,14245.428025593,15105.6912981204,15832.2034835279,16533.6348876784,17197.0030701303,17763.9439274524,18355.4050047453,19144.9412850106,20030.171178796,20835.5706021978,20724.1336986564,22182.263528938,22834.9743579527,23782.8052762378,24812.2055242423
Late-demographic dividend,LTE,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Late-demographic dividend,LTE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,45.6278335826902,46.5017067580441,47.4485995521306,48.4126970641164,49.3912861225068,50.3808715430178,51.3547019865279,52.3237873689032,53.2981351995234,54.2708057062181,55.2420765130508,56.1611231164695,57.0582009531008,57.9697914804197,58.8687795884874,59.7601754569678,60.6446048429491,61.5196324604483,62.3774263489862,63.218154758505,64.0329696631862,64.8181558739638,65.6035316403987,66.3703549135626,67.1157081306765
Latin America & Caribbean,LCN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,14637.7343621251,14492.2332525937,14372.6109012659,14541.8024917951,15133.2720024409,15537.7634671947,16143.6489697746,16790.980020414,17212.007194661,16633.9258843686,17519.3262664885,18117.839692903,18400.0224408148,18731.1886941265,18814.9513462351,18723.6067322825,18509.858715588,18701.0525599035,18851.8707068875,18841.0392635729,17478.3956707466,18654.7651180854,19295.4512005947,19602.5945198256,19905.3033936786
Latin America & Caribbean,LCN,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Latin America & Caribbean,LCN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,75.496026457602,75.8546401595851,76.1833285481376,76.5035888283245,76.8105978108385,77.1149339228251,77.4142848028044,77.7092622774368,77.9976244507387,78.2785271012667,78.5579173925433,78.8334605944324,79.1007053150702,79.3629353810291,79.6236030336442,79.8819667727394,80.1349551347229,80.3801642315254,80.6138689467709,80.8488679958605,81.0877969256887,81.3272280767858,81.5649153564557,81.8012186793422,82.0375662207342
Latin America & Caribbean (excluding high income),LAC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,14273.0516718015,14095.0169886633,13961.316971416,14111.981633253,14666.9509216526,15055.8893314058,15646.0428007771,16280.3391214087,16692.4713793654,16107.6572525584,16998.739968284,17574.8040839878,17806.2556639823,18123.9165905107,18192.8672531488,18077.3119352106,17834.7882174145,18016.0451082518,18120.2436395714,18068.0984984257,16754.6568800908,17833.3374848969,18419.6909865342,18695.1004395893,18935.3217162046
Latin America & Caribbean (excluding high income),LAC,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Latin America & Caribbean (excluding high income),LAC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,74.6149326240965,74.9790157555925,75.3251097631481,75.6680548633672,75.9964933826823,76.3197038610586,76.6400974096056,76.956174306103,77.2652895836217,77.5661775693105,77.8654739637702,78.1611069994865,78.4486398684116,78.7312873391729,79.0127052039133,79.2919206746314,79.5663110301781,79.8363374785181,80.1027920682901,80.3673865463117,80.6299945481019,80.8894314614173,81.1442610510058,81.395321047644,81.6454505574133
Latin America & the Caribbean (IDA & IBRD countries),TLA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,14523.362859843,14356.1457841138,14231.469465529,14403.6144838266,14976.5063423349,15392.1463009658,16009.144076499,16666.57329604,17097.5065734602,16519.0921356663,17416.1506567518,18021.844525418,18305.8856266341,18640.3150039331,18724.6120691729,18631.1587895789,18414.5663580749,18610.1152472941,18765.6785955562,18748.8272114999,17388.4796307677,18567.0149020827,19199.2396656398,19503.3134014221,19797.5518888551
Latin America & the Caribbean (IDA & IBRD countries),TLA,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,75.34802028219,75.7148007535225,76.0506006118887,76.3789936703197,76.6951045149019,77.0084585404128,77.3167514313408,77.6204543475109,77.9171467954934,78.2059442308233,78.4927959794285,78.7758823910133,79.0503099536297,79.3201089434569,79.5886292750419,79.854596104089,80.1148117407706,80.3667891384065,80.607740795928,80.8468332516826,81.0901657049533,81.3334320955924,81.5750058081646,81.8143993320891,82.0533140211896
Least developed countries: UN classification,LDC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2013.38254155319,2064.68298712137,2126.12135450727,2186.68914002685,2277.71011362598,2396.26961484085,2510.77152819779,2642.88154650605,2756.87257174145,2815.89007846616,2925.02499173024,3001.68969796918,3075.43194855746,3176.93252785348,3289.54438672868,3381.83423962795,3464.21563598968,3562.09634438402,3657.8377611582,3768.64816594992,3682.58868655014,3695.37694103799,3793.48448231073,3831.94636034815,3895.83858416986
Least developed countries: UN classification,LDC,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Least developed countries: UN classification,LDC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,25.0271490898027,25.4263301915298,25.8481571648911,26.2766755172176,26.707526525013,27.1555092838585,27.5975648726192,27.9968049829107,28.4855264908401,28.9780363162154,29.4782380357351,29.9856100929974,30.4846413708241,30.992428991258,31.5100998139128,32.0367971381432,32.5762833143075,33.1242640987107,33.6667279661463,34.2024920969837,34.7409228785313,35.2890728691293,35.8497135775292,36.4129698967495,36.9801086492437
Low & middle income,LMY,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,5503.62630075522,5616.7439959163,5787.72164679038,6034.352875176,6397.97204138322,6748.8929373123,7173.98891480846,7662.06479519709,7968.06840289486,8142.14759527774,8653.82044270945,9049.67054144259,9382.85668465801,9748.98474104633,10100.3904591062,10435.974210196,10806.0741940956,11227.1038840609,11638.7547453201,11962.1161905224,11632.0317963276,12336.071741852,12731.1741726518,13240.3217103847,13689.8810931637
Low & middle income,LMY,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Low & middle income,LMY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,39.2338517104975,39.8020132055294,40.4139022265827,41.0301252155546,41.6530256568993,42.2809926345142,42.8970457227504,43.4945978250084,44.1056470271771,44.7145962753349,45.3230162208833,45.9005229782248,46.4680285401234,47.0458333723862,47.6253258965521,48.2084210510769,48.7861260769608,49.3618130264144,49.9317364027109,50.4910880268035,51.0358692115089,51.5727352221803,52.1006417998491,52.618040083163,53.1355985988779
Low income,LIC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,2066.98401321331,2081.13012710214,2138.28478676692,2211.31052335961,2280.59493258924,2360.41396239573,2426.04604815915,2502.88960739936,2560.90808857274,2586.35512964248,2674.63093815603,2675.52425675177,2461.77792411972,2374.01086902451,2383.33460572791,2394.11778356303,2389.64487588395,2390.09374217086,2395.30257673339,2406.66216118561,2322.36805513449,2275.67794031939,2291.65242046683,2221.13921872261,2228.07908742396
Low income,LIC,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Low income,LIC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,29.9351460456332,30.215251641344,30.4677099766949,30.6993013690676,30.9477890123139,31.2279158147159,31.5329474817188,31.7710596243822,32.1133323433664,32.427806710292,32.7659789914846,33.0359682038115,33.2610310237945,33.4700257727979,33.7005554837113,34.0543791399747,34.4561050366558,34.8821585032487,35.308896471579,35.7448254230166,36.1918388913868,36.6549434168564,37.1420380582929,37.6338833544081,38.1296595552384
Lower middle income,LMC,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,3589.61484613412,3674.12223338572,3757.83696979259,3914.40428427141,4115.40541979661,4319.50512872975,4547.35540471267,4779.75546277256,4906.9003692842,5117.11733336504,5378.88722585822,5541.99464580545,5733.79025528377,5963.27212827777,6234.23989446339,6523.30498224038,6822.7657844028,7109.18867028596,7409.39295532284,7616.26440647489,7248.34919141699,7652.71966358408,8042.73082886016,8449.21262230128,8788.57824845724
Lower middle income,LMC,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lower middle income,LMC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,30.8998888809336,31.2279917033736,31.604915015984,31.9890497034069,32.3774169318961,32.7748010572084,33.1784575740319,33.5862623867699,33.9945412812436,34.4073937481876,34.8269673602317,35.2559988089918,35.6887662148081,36.1457483404799,36.6142648233343,37.0772324949332,37.5349734658891,37.9970008869979,38.468823695992,38.9483291953,39.4369727928763,39.9377220240325,40.4516375248882,40.977148439103,41.5092867783328
"Middle East, North Africa, Afghanistan & Pakistan",MEA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,10257.3071135031,10240.3778958515,10242.1370981141,10436.3217638938,11004.4683475706,11304.3669311311,11669.39892423,11994.7612906492,12232.4907868139,12152.4346852586,12469.312741167,12698.0514930103,12805.0413164652,12790.1593891763,12938.3202401487,13085.5772362211,13460.6456819571,13549.9479979816,13707.3943162988,13715.8285364082,13116.0948070665,13527.2178232324,14106.7347739035,14141.0523484265,14174.4903269366
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Middle East, North Africa, Afghanistan & Pakistan",MEA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,48.6964988287984,48.9997815875061,49.2490750771856,49.4901716936847,49.7768179206833,50.0971512122545,50.4257855692334,50.7549179084717,51.0673958664026,51.3589935583313,51.5706862807146,51.8030588293785,52.0625197732866,52.4065166891321,52.7368859867344,53.1229249093042,53.4653658066936,53.7232256564093,53.9242829286333,54.1425070359765,54.4074384854235,54.5928225800166,54.9664853093317,55.3450146500147,55.7010004133504
